lap,laps_remaining,tire_age,compound,is_soft,is_medium,is_hard,expected_lap_time,pit
32,26,25,HARD,0,0,1,82.989,0
33,25,26,HARD,0,0,1,83.04599999999999,0
34,24,27,HARD,0,0,1,83.446,0
35,23,28,HARD,0,0,1,82.537,0
36,22,29,HARD,0,0,1,83.068,0
37,21,30,HARD,0,0,1,82.6943275862069,1
37,21,0,HARD,0,0,1,82.6943275862069,0
38,20,1,HARD,0,0,1,89.8065,0
39,19,2,HARD,0,0,1,82.7645,0
40,18,3,HARD,0,0,1,82.57300000000001,0
41,17,4,HARD,0,0,1,82.581,0
42,16,5,HARD,0,0,1,82.663,0
43,15,6,HARD,0,0,1,82.767,0
44,14,7,HARD,0,0,1,82.221,0
45,13,8,HARD,0,0,1,82.759,0
46,12,9,HARD,0,0,1,81.8815,0
47,11,10,HARD,0,0,1,81.67699999999999,0
48,10,11,HARD,0,0,1,81.583,0
49,9,12,HARD,0,0,1,81.713,0
50,8,13,HARD,0,0,1,81.74,0
51,7,14,HARD,0,0,1,81.976,0
52,6,15,HARD,0,0,1,81.837,0
53,5,16,HARD,0,0,1,81.951,0
54,4,17,HARD,0,0,1,82.06,0
55,3,18,HARD,0,0,1,82.1065,0
56,2,19,HARD,0,0,1,82.229,0
57,1,20,HARD,0,0,1,82.697,0
58,0,21,HARD,0,0,1,82.947,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,1
7,51,0,HARD,0,0,1,82.6943275862069,0
8,50,1,HARD,0,0,1,89.8065,0
9,49,2,HARD,0,0,1,82.7645,0
10,48,3,HARD,0,0,1,82.57300000000001,0
11,47,4,HARD,0,0,1,82.581,0
12,46,5,HARD,0,0,1,82.663,0
13,45,6,HARD,0,0,1,82.767,0
14,44,7,HARD,0,0,1,82.221,0
15,43,8,HARD,0,0,1,82.759,0
16,42,9,HARD,0,0,1,81.8815,0
17,41,10,HARD,0,0,1,81.67699999999999,0
18,40,11,HARD,0,0,1,81.583,0
19,39,12,HARD,0,0,1,81.713,0
20,38,13,HARD,0,0,1,81.74,0
21,37,14,HARD,0,0,1,81.976,0
22,36,15,HARD,0,0,1,81.837,0
23,35,16,HARD,0,0,1,81.951,0
24,34,17,HARD,0,0,1,82.06,0
25,33,18,HARD,0,0,1,82.1065,0
26,32,19,HARD,0,0,1,82.229,0
27,31,20,HARD,0,0,1,82.697,0
28,30,21,HARD,0,0,1,82.947,0
